date,lag_10_day,lag_1_day,lag_2_day,lag_3_day,lag_4_day,lag_5_day,lag_6_day,lag_7_day,lag_8_day,lag_9_day
2013-12-18,0.06947345001354063,0.012858611980576688,0.021252327745372303,0.01851947136737101,0.03297784976290234,0.03859184077407971,0.051004571692866964,0.0575408377936609,0.049643150107498826,0.0702627341633923
2013-12-19,0.0702627341633923,0.001747009225096125,0.012858611980576688,0.021252327745372303,0.01851947136737101,0.03297784976290234,0.03859184077407971,0.051004571692866964,0.0575408377936609,0.049643150107498826
2013-12-20,0.049643150107498826,-0.013108956241308712,0.001747009225096125,0.012858611980576688,0.021252327745372303,0.01851947136737101,0.03297784976290234,0.03859184077407971,0.051004571692866964,0.0575408377936609
2013-12-23,0.0575408377936609,-0.007052524247151471,-0.013108956241308712,0.001747009225096125,0.012858611980576688,0.021252327745372303,0.01851947136737101,0.03297784976290234,0.03859184077407971,0.051004571692866964
2013-12-24,0.051004571692866964,0.028194489499045752,-0.007052524247151471,-0.013108956241308712,0.001747009225096125,0.012858611980576688,0.021252327745372303,0.01851947136737101,0.03297784976290234,0.03859184077407971
2013-12-26,0.03859184077407971,0.019344946086654814,0.028194489499045752,-0.007052524247151471,-0.013108956241308712,0.001747009225096125,0.012858611980576688,0.021252327745372303,0.01851947136737101,0.03297784976290234
2013-12-27,0.03297784976290234,0.009306397756005098,0.019344946086654814,0.028194489499045752,-0.007052524247151471,-0.013108956241308712,0.001747009225096125,0.012858611980576688,0.021252327745372303,0.01851947136737101
2013-12-30,0.01851947136737101,0.0007956086889231504,0.009306397756005098,0.019344946086654814,0.028194489499045752,-0.007052524247151471,-0.013108956241308712,0.001747009225096125,0.012858611980576688,0.021252327745372303
2013-12-31,0.021252327745372303,-0.009531605287988526,0.0007956086889231504,0.009306397756005098,0.019344946086654814,0.028194489499045752,-0.007052524247151471,-0.013108956241308712,0.001747009225096125,0.012858611980576688
2014-01-02,0.012858611980576688,0.00176871247958462,-0.009531605287988526,0.0007956086889231504,0.009306397756005098,0.019344946086654814,0.028194489499045752,-0.007052524247151471,-0.013108956241308712,0.001747009225096125
2014-01-03,0.001747009225096125,-0.01182764282177682,0.00176871247958462,-0.009531605287988526,0.0007956086889231504,0.009306397756005098,0.019344946086654814,0.028194489499045752,-0.007052524247151471,-0.013108956241308712
2014-01-06,-0.013108956241308712,-0.032453810974220884,-0.01182764282177682,0.00176871247958462,-0.009531605287988526,0.0007956086889231504,0.009306397756005098,0.019344946086654814,0.028194489499045752,-0.007052524247151471
2014-01-07,-0.007052524247151471,-0.024706341655514684,-0.032453810974220884,-0.01182764282177682,0.00176871247958462,-0.009531605287988526,0.0007956086889231504,0.009306397756005098,0.019344946086654814,0.028194489499045752
2014-01-08,0.028194489499045752,-0.030208691775980335,-0.024706341655514684,-0.032453810974220884,-0.01182764282177682,0.00176871247958462,-0.009531605287988526,0.0007956086889231504,0.009306397756005098,0.019344946086654814
