,Date,Day,status_country,counts
453,6/5/2014,75,Cases_Nigeria,
454,6/3/2014,73,Cases_Nigeria,
455,6/1/2014,71,Cases_Nigeria,
456,5/28/2014,67,Cases_Nigeria,
457,5/27/2014,66,Cases_Nigeria,
458,5/23/2014,62,Cases_Nigeria,
459,5/12/2014,51,Cases_Nigeria,
460,5/10/2014,49,Cases_Nigeria,
461,5/7/2014,46,Cases_Nigeria,
462,5/5/2014,44,Cases_Nigeria,
463,5/3/2014,42,Cases_Nigeria,
464,5/1/2014,40,Cases_Nigeria,
465,4/26/2014,35,Cases_Nigeria,
466,4/24/2014,33,Cases_Nigeria,
467,4/23/2014,32,Cases_Nigeria,
468,4/22/2014,31,Cases_Nigeria,
469,4/21/2014,30,Cases_Nigeria,
470,4/20/2014,29,Cases_Nigeria,
471,4/17/2014,26,Cases_Nigeria,
472,4/16/2014,25,Cases_Nigeria,
473,4/15/2014,24,Cases_Nigeria,
474,4/14/2014,23,Cases_Nigeria,
475,4/11/2014,20,Cases_Nigeria,
476,4/9/2014,18,Cases_Nigeria,
477,4/7/2014,16,Cases_Nigeria,
478,4/4/2014,13,Cases_Nigeria,
479,4/1/2014,10,Cases_Nigeria,
480,3/31/2014,9,Cases_Nigeria,
481,3/29/2014,7,Cases_Nigeria,
482,3/28/2014,6,Cases_Nigeria,
483,3/27/2014,5,Cases_Nigeria,
484,3/26/2014,4,Cases_Nigeria,
485,3/25/2014,3,Cases_Nigeria,
486,3/24/2014,2,Cases_Nigeria,
487,3/22/2014,0,Cases_Nigeria,
488,1/5/2015,289,Cases_Senegal,
489,1/4/2015,288,Cases_Senegal,
490,1/3/2015,287,Cases_Senegal,
491,1/2/2015,286,Cases_Senegal,
492,12/31/2014,284,Cases_Senegal,
493,12/28/2014,281,Cases_Senegal,
494,12/27/2014,280,Cases_Senegal,
495,12/24/2014,277,Cases_Senegal,
496,12/21/2014,273,Cases_Senegal,
497,12/20/2014,272,Cases_Senegal,
498,12/18/2014,271,Cases_Senegal,
499,12/14/2014,267,Cases_Senegal,
500,12/9/2014,262,Cases_Senegal,
501,12/7/2014,260,Cases_Senegal,1.0
502,12/3/2014,256,Cases_Senegal,
503,11/30/2014,253,Cases_Senegal,1.0
504,11/28/2014,251,Cases_Senegal,
505,11/23/2014,246,Cases_Senegal,1.0
506,11/22/2014,245,Cases_Senegal,
507,11/18/2014,241,Cases_Senegal,1.0
508,11/16/2014,239,Cases_Senegal,1.0
509,11/15/2014,238,Cases_Senegal,
510,11/11/2014,234,Cases_Senegal,1.0
511,11/10/2014,233,Cases_Senegal,
512,11/9/2014,232,Cases_Senegal,1.0
513,11/8/2014,231,Cases_Senegal,
514,11/4/2014,227,Cases_Senegal,1.0
515,11/3/2014,226,Cases_Senegal,
516,11/2/2014,225,Cases_Senegal,1.0
517,10/31/2014,222,Cases_Senegal,
518,10/29/2014,220,Cases_Senegal,1.0
519,10/27/2014,218,Cases_Senegal,1.0
520,10/25/2014,216,Cases_Senegal,
521,10/22/2014,214,Cases_Senegal,
522,10/21/2014,213,Cases_Senegal,
523,10/19/2014,211,Cases_Senegal,1.0
524,10/18/2014,210,Cases_Senegal,
525,10/14/2014,206,Cases_Senegal,1.0
526,10/13/2014,205,Cases_Senegal,
527,10/12/2014,204,Cases_Senegal,1.0
528,10/11/2014,203,Cases_Senegal,
529,10/8/2014,200,Cases_Senegal,1.0
530,10/7/2014,199,Cases_Senegal,
531,10/5/2014,197,Cases_Senegal,1.0
532,10/4/2014,196,Cases_Senegal,
533,10/1/2014,193,Cases_Senegal,1.0
534,9/28/2014,190,Cases_Senegal,1.0
535,9/23/2014,185,Cases_Senegal,1.0
536,9/21/2014,183,Cases_Senegal,1.0
537,9/20/2014,182,Cases_Senegal,
538,9/19/2014,181,Cases_Senegal,
539,9/17/2014,179,Cases_Senegal,
540,9/14/2014,176,Cases_Senegal,
541,9/13/2014,175,Cases_Senegal,1.0
542,9/10/2014,172,Cases_Senegal,1.0
543,9/9/2014,171,Cases_Senegal,
544,9/7/2014,169,Cases_Senegal,3.0
545,9/5/2014,167,Cases_Senegal,1.0
546,8/31/2014,162,Cases_Senegal,1.0
547,8/26/2014,157,Cases_Senegal,
548,8/20/2014,151,Cases_Senegal,
549,8/18/2014,149,Cases_Senegal,
550,8/16/2014,147,Cases_Senegal,
551,8/13/2014,144,Cases_Senegal,
552,8/11/2014,142,Cases_Senegal,
553,8/9/2014,140,Cases_Senegal,
554,8/6/2014,137,Cases_Senegal,
555,8/4/2014,135,Cases_Senegal,
556,8/1/2014,132,Cases_Senegal,
557,7/30/2014,129,Cases_Senegal,
558,7/27/2014,126,Cases_Senegal,
559,7/23/2014,123,Cases_Senegal,
560,7/20/2014,120,Cases_Senegal,
561,7/17/2014,117,Cases_Senegal,
562,7/14/2014,114,Cases_Senegal,
563,7/12/2014,112,Cases_Senegal,
564,7/8/2014,108,Cases_Senegal,
565,7/6/2014,106,Cases_Senegal,
566,7/2/2014,102,Cases_Senegal,
567,6/30/2014,100,Cases_Senegal,
568,6/22/2014,92,Cases_Senegal,
569,6/20/2014,90,Cases_Senegal,
570,6/19/2014,89,Cases_Senegal,
571,6/18/2014,88,Cases_Senegal,
572,6/17/2014,87,Cases_Senegal,
573,6/16/2014,86,Cases_Senegal,
574,6/10/2014,80,Cases_Senegal,
575,6/5/2014,75,Cases_Senegal,
576,6/3/2014,73,Cases_Senegal,
577,6/1/2014,71,Cases_Senegal,
578,5/28/2014,67,Cases_Senegal,
579,5/27/2014,66,Cases_Senegal,
580,5/23/2014,62,Cases_Senegal,
581,5/12/2014,51,Cases_Senegal,
582,5/10/2014,49,Cases_Senegal,
583,5/7/2014,46,Cases_Senegal,
584,5/5/2014,44,Cases_Senegal,
585,5/3/2014,42,Cases_Senegal,
586,5/1/2014,40,Cases_Senegal,
587,4/26/2014,35,Cases_Senegal,
588,4/24/2014,33,Cases_Senegal,
589,4/23/2014,32,Cases_Senegal,
590,4/22/2014,31,Cases_Senegal,
591,4/21/2014,30,Cases_Senegal,
592,4/20/2014,29,Cases_Senegal,
